#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_1260	292	759	187	239	232	46	619	220	145	268
SL1344_1261	227	845	161	204	281	231	805	253	189	249
SL1344_1262	1751	2444	1781	2654	2145	765	2792	2059	1919	1462
SL1344_1263	221	191	244	161	793	41	166	356	367	504
SL1344_1264	24	22	13	14	18	6	38	10	20	17
SL1344_1265	151	144	77	117	149	54	184	75	43	130
SL1344_1266	173	186	127	183	192	52	215	172	145	328
SL1344_1267	46697	57053	39507	53533	37254	14449	50613	42292	44262	30875
SL1344_1268	155552	178998	144557	198496	157050	45430	180176	131494	120884	142692
SL1344_1269	133785	127900	96209	172836	133236	59633	124508	105546	114828	84842
SL1344_1270	18186	16243	13744	18219	12813	6862	16945	12557	9942	15064
SL1344_1271	3841	4730	3037	3829	3367	1960	3912	3119	3182	2561
SL1344_1272	14683	17934	10872	11238	9847	6856	11610	8953	10559	7538
SL1344_1273	2907	3374	1946	2137	1713	1442	2892	1870	2009	1512
SL1344_1274	533	604	429	537	462	132	466	348	380	601
SL1344_1275	980	1433	537	788	651	195	1017	549	623	557
SL1344_1276	348	538	255	307	189	119	385	225	228	274
SL1344_1277	383	579	232	329	155	78	587	185	156	306
SL1344_1278	136	293	58	88	80	48	327	61	78	90
SL1344_1279	1033	1106	512	631	500	266	864	394	359	527
SL1344_1280	504	136	158	611	157	119	264	136	32	146
SL1344_1281	1479	1981	1274	1829	1462	602	2082	1371	1272	1301
SL1344_1282	318	521	124	256	224	57	311	215	349	217
SL1344_1283	5045	12932	707	1035	1647	1704	5496	7143	14576	1918
SL1344_1284	95	153	86	107	83	26	136	65	37	56
SL1344_1285	8	8	7	9	1	1	7	4	2	5
SL1344_1286	94	62	43	89	34	26	76	33	41	60
SL1344_1287	167	202	112	149	103	76	182	96	76	99
SL1344_1288	21	13	4	24	13	5	19	6	8	9
SL1344_1289	10	6	3	15	16	4	8	14	9	9
SL1344_1290	126	263	126	123	164	73	175	136	88	148
SL1344_1291	84	124	65	97	66	38	118	80	54	70
SL1344_1292	324	651	280	346	348	118	501	294	301	278
SL1344_1293	247	417	174	219	223	79	379	226	245	126
SL1344_1296	17	5	6	8	1	0	11	3	5	14
SL1344_1297	58	79	13	30	25	19	87	14	20	15
SL1344_1298	781	1041	586	906	773	263	944	623	612	675
SL1344_1299	877	1144	585	726	697	200	955	501	543	692
SL1344_1300	272	403	187	255	200	63	291	173	214	173
SL1344_1301	187	191	109	168	146	84	222	97	141	139
SL1344_1302	217	406	250	315	213	168	372	426	575	304
SL1344_1303	385	519	223	617	224	98	669	144	47	183
SL1344_1304	542	784	424	1051	409	232	1014	278	78	362
SL1344_1305	236	359	177	350	142	81	487	126	60	151
SL1344_1306	542	676	306	790	316	224	805	218	112	299
SL1344_1307	432	544	255	480	251	108	599	186	80	250
SL1344_1308	148	191	106	179	108	48	234	52	47	93
SL1344_1309	467	836	234	467	304	150	741	290	240	366
SL1344_1310	162	228	177	232	155	53	267	198	186	189
SL1344_1311	33305	32814	18622	32048	26907	20357	33662	30494	34990	15463
SL1344_1312	8028	10148	10265	14312	9347	4108	13367	8429	4857	8494
SL1344_1313	42	38	25	57	36	7	58	20	8	32
SL1344_1314	24	27	4	21	25	12	26	8	7	36
SL1344_1315	18	37	8	8	17	6	17	14	28	19
SL1344_1316	24	52	0	11	16	9	29	12	12	24
SL1344_1317	79	105	70	69	54	44	75	80	43	62
SL1344_1318	5	24	7	4	8	5	12	14	5	9
SL1344_1319	6	8	4	4	3	0	2	2	1	4
SL1344_1320	549	966	407	357	559	100	436	399	581	592
SL1344_1321	204	292	145	136	153	25	165	132	131	157
SL1344_1322	177	169	109	134	101	52	142	135	143	102
SL1344_1323	658	1375	220	433	304	237	1134	244	222	328
SL1344_1324	119	178	85	123	108	51	151	77	93	137
SL1344_1325	91	119	81	93	82	48	148	89	68	94
SL1344_1326	186	194	128	174	170	61	231	162	72	205
SL1344_1327	2	5	4	5	0	1	4	1	2	0
SL1344_1328	37	72	24	33	45	10	48	39	22	37
SL1344_1329	103	139	49	54	54	27	120	63	39	72
SL1344_1330	42	75	38	40	32	10	87	39	27	42
SL1344_1330A	21	14	18	21	9	3	24	15	9	18
SL1344_1331	75	217	80	70	75	16	144	83	63	76
SL1344_1332	164	341	110	118	125	79	263	156	83	109
SL1344_1333	36	69	47	37	32	15	55	46	29	36
SL1344_1334	553	1182	436	288	423	191	580	311	300	251
SL1344_1335	96	115	45	26	44	27	78	37	41	42
SL1344_1336	23	30	33	17	15	13	39	16	16	34
SL1344_1337	24	27	19	20	10	0	31	17	8	25
SL1344_1338	74	89	41	57	40	23	74	43	35	38
SL1344_1339	66	82	31	58	70	13	90	32	27	49
SL1344_1340	23	16	7	28	21	5	21	7	11	21
SL1344_1342	24	22	10	25	17	2	48	12	0	11
SL1344_1343	32	39	20	28	18	20	53	27	28	49
SL1344_1344	13	42	13	23	17	8	32	21	6	17
SL1344_1345	34	60	25	40	34	12	52	27	18	42
SL1344_1346	317	308	141	253	196	94	326	155	193	157
SL1344_1347	14	5	4	5	1	0	5	6	6	9
SL1344_1348	168	245	107	118	119	35	232	111	89	125
SL1344_1349	338	587	218	278	257	79	501	257	170	245
SL1344_1350	72	95	65	45	54	25	75	44	26	54
SL1344_1351	65	96	52	62	36	24	94	73	29	67
SL1344_1352	464	770	324	436	379	135	642	324	290	459
SL1344_1353	82	168	55	75	85	30	112	66	50	135
SL1344_1354	19	32	18	29	28	3	39	18	12	38
SL1344_1355	55	65	39	59	37	10	70	36	23	94
SL1344_1356	74	127	61	68	60	30	90	39	44	67
SL1344_1357	540	682	297	473	357	230	841	427	321	410
SL1344_1358	1895	3325	1806	1798	1803	588	2753	1724	1901	1415
SL1344_1359	296	737	307	418	417	270	770	416	241	392
SL1344_1360	526	760	409	676	400	206	524	254	149	430
SL1344_1361	137	210	125	110	119	52	144	108	84	118
SL1344_1362	1929	1545	1243	1844	1147	857	1895	1317	1185	1262
SL1344_1362A	293	337	191	323	247	142	387	267	288	307
SL1344_1363	4045	5937	4169	4483	4509	1724	5027	4892	6704	3335
SL1344_1364	1213	1240	798	1063	1091	460	1222	898	1041	680
SL1344_1365	1790	2174	1344	1850	1410	1273	2652	1657	1423	1445
SL1344_1366	415	453	347	502	331	201	558	348	294	445
SL1344_1367	2195	3557	2582	3172	2936	1310	4585	2991	2626	2659
SL1344_1368	1593	2961	1504	2058	2109	630	2280	1614	1643	1636
SL1344_1369	330	401	217	321	316	137	317	289	284	256
SL1344_1370	33	56	15	31	11	10	65	22	11	19
SL1344_1371	250	348	204	205	257	112	284	190	172	178
SL1344_1372	306	582	194	267	198	146	582	184	228	202
SL1344_1373	493	428	332	587	340	150	407	262	250	413
SL1344_1374	694	883	612	933	765	185	728	496	518	548
SL1344_1375	53	41	34	34	36	9	43	21	23	35
SL1344_1376	2291	2176	1256	1649	1437	554	2144	1556	2024	1720
SL1344_1377	4227	10854	5723	3444	4270	3199	5283	3592	4555	2512
SL1344_1378	275	320	209	218	243	61	306	148	129	224
SL1344_1379	340	591	106	213	120	129	723	135	113	171
SL1344_1380	766	934	602	788	599	339	945	696	597	712
SL1344_1381	4473	5086	3344	5072	3588	2506	5190	3813	3747	3474
SL1344_1382	903	1189	775	1151	793	457	974	976	1032	780
SL1344_1383	385	784	398	499	482	286	941	527	426	441
SL1344_1384	2690	2891	1491	2202	1862	974	2443	1325	1212	1755
SL1344_1385	1364	816	657	1212	590	366	1068	654	607	757
SL1344_1386	2244	1549	1260	2241	1266	486	2059	1189	1151	1507
SL1344_1387	1186	679	656	1364	701	355	1022	614	643	637
SL1344_1388	748	591	448	635	516	183	680	332	312	638
SL1344_1389	3009	2460	1675	2644	1874	961	2141	1379	1332	1562
SL1344_1390	633	576	446	550	386	143	609	292	240	655
SL1344_1391	372	292	255	342	228	116	349	203	99	379
SL1344_1392	645	528	577	760	630	225	732	571	333	734
SL1344_1393	1366	1091	1323	1727	1435	311	1443	1431	1123	1822
SL1344_1393A	297	410	338	575	494	198	656	492	431	542
SL1344_1394	1070	1768	955	1144	1021	439	1698	913	860	788
SL1344_1395	401	343	225	410	251	173	412	340	382	258
SL1344_1396	2026	3548	1734	2254	1800	1541	2921	1931	2122	1507
SL1344_1397	527	870	435	568	487	269	860	508	460	419
SL1344_1398	3081	6563	2338	1883	3940	674	2595	2685	4112	2650
SL1344_1400	829	1895	487	461	776	202	1010	574	741	699
SL1344_1401	123	164	83	120	92	70	137	87	62	134
SL1344_1402	112	139	81	93	79	38	86	94	75	67
SL1344_1403	25	13	15	3	9	11	9	6	8	11
SL1344_1404	155	194	117	155	167	36	144	84	59	123
SL1344_1405	1359	2076	1200	1425	1685	510	1992	1246	890	1767
SL1344_1406	152	83	71	117	49	23	126	57	57	95
SL1344_1407	1002	736	670	1140	672	372	921	619	442	575
SL1344_1408	1404	1794	1383	1687	1391	771	1833	1626	1706	1333
SL1344_1409	2734	4783	2957	3603	2799	1648	4963	2927	2110	2500
SL1344_1410	2330	4215	2628	3112	2790	1294	4472	2517	1945	2631
SL1344_1411	256	191	120	111	86	61	180	114	100	144
SL1344_1412	612	950	374	421	403	105	664	276	246	594
SL1344_1413	75	123	42	52	42	14	78	30	23	74
SL1344_1414	350	351	128	216	187	60	366	163	137	216
SL1344_1415	1151	832	441	870	472	394	605	802	1238	513
SL1344_1416	88	88	50	99	67	48	102	29	45	53
SL1344_1417	104	258	99	132	92	53	185	122	78	94
SL1344_1418	1305	1644	1050	937	1321	358	1044	560	384	1419
SL1344_1419	818	871	500	488	539	94	615	272	203	648
