#GENES	S207_1	WT_1	Control_1	H12_1	D56_1	S207_2	WT_2	Control_2	H12_2	D56_2
SL1344_3545	707	1461	475	625	520	532	1400	626	549	544
SL1344_3546	220	291	176	159	197	91	167	115	101	80
SL1344_3547	97	223	57	85	63	32	179	41	59	38
SL1344_3548	451	531	268	347	293	155	438	247	248	246
SL1344_3549	455	482	248	412	310	65	398	193	183	304
SL1344_3550	100	139	66	89	91	49	90	69	66	63
SL1344_3551	448	418	260	257	280	132	324	242	188	324
SL1344_3552	435	323	227	299	183	80	240	198	166	212
SL1344_3553	1981	2266	1633	2260	1386	874	2124	1545	1342	1471
SL1344_3554	4370	3891	2628	4382	2397	1826	3238	2703	2663	2581
SL1344_3555	105	242	80	71	71	50	160	69	48	156
SL1344_3556	696	1364	534	608	757	244	963	608	449	707
SL1344_3557	128	282	141	90	144	46	181	156	160	173
SL1344_3558	312	729	466	212	315	146	253	325	143	322
SL1344_3559	2114	4746	3174	1522	2500	895	1856	2030	1080	1870
SL1344_3560	270	352	226	224	299	111	328	205	170	278
SL1344_3561	1694	1457	949	1880	1030	539	1657	1171	1288	1011
SL1344_3562	3162	4881	2971	4110	3139	1138	4966	3397	3077	3294
SL1344_3563	240	292	130	204	180	132	303	187	109	130
SL1344_3564	60	55	13	60	49	29	77	54	18	48
SL1344_3565	41	106	69	127	89	25	101	66	32	130
SL1344_3566	820	1114	797	1245	852	262	894	660	551	633
SL1344_3567	676	1187	683	977	767	128	1092	643	675	842
SL1344_3568	339	531	188	341	212	143	541	256	155	208
SL1344_3569	352	660	582	514	1216	159	335	621	782	676
SL1344_3570	12	3	10	2	8	0	10	6	5	9
SL1344_3571	40	62	39	52	38	29	64	34	26	31
SL1344_3572	127	276	138	130	159	81	227	156	110	155
SL1344_3573	102	246	86	83	91	67	198	59	60	74
SL1344_3574	41	35	23	46	31	11	69	18	14	27
SL1344_3575	676	1141	1110	613	871	209	728	705	315	1317
SL1344_3576	592	501	3431	1215	3401	348	222	2555	1256	2696
SL1344_3577	161	425	295	106	471	88	91	150	188	249
SL1344_3578	3555	2940	1845	2090	1947	766	2169	1887	1864	1962
SL1344_3579	2222	3069	1353	539	2569	246	665	2250	4500	2172
SL1344_3580	1021	1034	566	780	491	332	929	551	476	673
SL1344_3581	3513	4140	1443	2102	1665	793	2376	1197	1361	1181
SL1344_3582	950	1225	425	747	452	313	937	423	448	430
SL1344_3583	1310	1762	638	1080	644	608	1518	568	530	633
SL1344_3584	1855	2249	839	1315	881	602	1594	682	639	782
SL1344_3585	531	655	258	433	305	200	545	241	210	277
SL1344_3586	161	230	104	166	77	39	220	76	55	80
SL1344_3587	825	1027	410	674	531	287	1080	544	355	551
SL1344_3588	19	38	20	29	30	9	42	20	19	25
SL1344_3589	477	826	281	465	305	150	688	245	219	344
SL1344_3591	400	310	297	478	297	118	332	248	160	327
SL1344_3592	300	690	196	271	249	88	273	109	107	248
SL1344_3593	285	495	140	245	199	79	251	111	83	195
SL1344_3594	87	87	53	74	59	16	59	29	25	58
SL1344_3595	96	216	64	111	81	18	81	42	33	74
SL1344_3596	1151	1848	569	653	805	248	733	372	278	487
SL1344_3597	59	89	26	37	76	19	49	36	60	32
SL1344_3598	175	160	114	159	127	108	185	131	130	116
SL1344_3599	138	65	73	108	65	54	116	100	78	63
SL1344_3600	1264	608	333	491	353	140	540	329	291	438
SL1344_3601	56	34	16	45	23	30	33	13	19	23
SL1344_3604	108	114	48	68	91	62	110	49	31	38
SL1344_3605	13	8	7	15	13	5	8	12	5	20
SL1344_3606	12	5	2	6	4	5	4	1	0	9
SL1344_3607	72	203	54	25	34	32	94	15	20	44
SL1344_3608	215	338	165	178	253	52	207	141	116	302
SL1344_3609	283	307	192	241	330	54	251	178	218	290
SL1344_3610	1035	1418	712	953	668	447	1244	580	678	573
SL1344_3611	3467	6364	533	1155	506	1092	5814	623	654	472
SL1344_3612	733	1004	447	627	475	206	871	432	324	455
SL1344_3613	4979	6787	3637	4878	3526	3184	5788	4039	3970	3594
SL1344_3614	557	1092	55	151	99	57	1084	53	60	88
SL1344_3615	34672	16235	14510	28612	11186	6498	13828	10388	10773	14922
SL1344_3617	266	338	214	278	236	226	351	309	223	283
SL1344_3618	151	224	128	210	151	128	234	187	169	181
SL1344_3619	379	434	167	268	173	76	356	185	148	239
SL1344_3620	6799	8411	5663	7413	5871	3789	7517	5791	5638	5061
SL1344_3621	1471	2069	1451	1713	1346	828	1793	1362	1437	1456
SL1344_3622	122	321	48	58	56	76	309	55	23	46
SL1344_3623	87	118	88	98	95	25	108	73	50	87
SL1344_3624	29	20	7	11	11	18	30	12	12	14
SL1344_3625	257	349	139	153	228	85	217	141	129	153
SL1344_3626	263	414	164	147	231	96	207	108	133	182
SL1344_3627	65	119	56	47	61	18	71	55	25	57
SL1344_3628	4775	4702	1834	3635	1931	1787	5215	1772	1996	2238
SL1344_3629	74	114	54	69	72	19	78	25	46	72
SL1344_3630	2451	2775	2189	3766	2340	738	2783	1983	1706	2395
SL1344_3631	106	197	66	82	84	62	139	74	75	54
SL1344_3632	348	805	319	320	401	236	661	343	303	359
SL1344_3633	3	4	7	1	8	0	2	0	3	1
SL1344_3634	6	18	9	5	2	4	7	7	10	8
SL1344_3635	16	17	2	12	14	11	28	10	13	12
SL1344_3636	0	2	3	3	4	1	2	2	0	1
SL1344_3637	2	6	1	0	2	2	0	4	1	0
SL1344_3638	7	8	5	10	2	1	11	4	5	4
SL1344_3639	12	32	11	11	26	3	13	19	7	17
SL1344_3640	8	6	18	11	12	1	2	7	6	14
SL1344_3641	20	30	25	34	15	3	19	14	5	10
SL1344_3642	11	9	8	18	10	4	17	9	8	13
SL1344_3643	71	79	35	31	48	14	58	31	44	54
SL1344_3644	81	150	65	85	75	54	127	71	45	94
SL1344_3645	150	348	110	73	126	40	149	112	94	124
SL1344_3646	167	387	64	103	90	39	340	77	86	58
SL1344_3647	1348	1747	1052	1293	965	535	1400	839	804	947
SL1344_3648	918	1380	654	880	748	463	963	686	637	594
SL1344_3649	768	1293	468	635	611	284	1162	495	470	438
SL1344_3650	388	1051	502	454	614	231	630	540	424	574
SL1344_3651	1051	1289	751	996	1071	442	1199	879	878	722
SL1344_3652	452	466	301	345	302	127	383	246	154	340
SL1344_3653	74	193	28	64	53	28	120	32	9	26
SL1344_3654	1120	1766	1311	1487	1175	356	1754	1313	1344	1103
SL1344_3655	21	8	14	8	7	0	14	3	0	14
SL1344_3656	484	674	240	440	225	116	549	266	247	303
SL1344_3657	177	360	135	45	230	8	85	85	103	211
SL1344_3658	189	603	208	65	367	44	118	153	150	265
SL1344_3659	107	564	123	60	310	13	128	135	151	308
SL1344_3660	148	126	94	157	118	43	148	92	89	113
SL1344_3661	648	692	531	677	567	309	620	599	597	402
SL1344_3662	62	156	47	33	66	25	60	22	36	41
SL1344_3665	2656	3480	2075	2946	2444	937	2351	1905	1981	2281
SL1344_3666	4308	6879	3835	5026	4072	1911	4542	3757	4266	3481
SL1344_3667	1414	2178	1382	1661	1525	847	1694	1544	1452	1386
SL1344_3668	3284	4070	2640	3256	2898	1297	3542	3072	2963	2390
SL1344_3669	3031	5075	2992	3743	2784	1398	4505	3077	2736	3421
SL1344_3670	1228	1807	1567	1722	1527	852	2208	1549	788	1260
SL1344_3671	4821	4951	3745	4978	3593	1802	4582	3534	3235	3424
SL1344_3672	1287	1279	862	1183	815	375	1094	834	767	985
SL1344_3673	114	132	46	62	57	31	115	57	42	43
SL1344_3674	2114	4230	2236	2204	2380	1344	2847	2646	2671	2212
SL1344_3675	4189	7760	4439	4673	5108	1808	4660	4914	6097	4500
SL1344_3676	1721	1961	1502	1954	1511	740	2130	1678	1640	1720
SL1344_3677	1329	2500	1719	2072	1849	646	2167	1734	1851	1863
SL1344_3678	1809	2130	1611	1941	1556	717	1935	1592	1601	1636
SL1344_3679	2146	2585	2119	2683	2116	690	2781	2316	2334	2591
SL1344_3681	585	461	268	443	282	109	521	258	219	514
SL1344_3683	585	875	641	657	672	238	829	608	523	1143
SL1344_3684	1042	1135	879	1113	984	507	1101	1031	794	1520
SL1344_3685	1528	1588	1162	1522	1446	563	1669	1407	1204	1979
SL1344_3687	1009	977	739	965	866	457	1074	761	793	991
SL1344_3688	1735	2134	1415	2003	1571	836	2012	1437	1428	1841
SL1344_3689	2469	3182	2556	3063	2707	1146	3402	2621	2233	3219
SL1344_3690	1734	1460	1214	1970	1263	564	1643	1209	1075	1660
SL1344_3691	341	308	221	303	186	92	291	194	169	260
SL1344_3692	930	753	596	792	466	418	548	530	291	620
SL1344_3693	4953	4590	3603	5932	3672	4639	5951	4663	4354	4220
SL1344_3694	5518	4964	4304	5653	3388	2671	5988	4266	3275	4196
SL1344_3695	249	299	128	188	227	103	167	156	186	192
SL1344_3696	3054	4149	3255	5003	3979	1013	4914	3906	4236	3566
SL1344_3697	573	817	527	734	533	364	803	571	459	585
SL1344_3698	930	1082	732	953	754	629	1037	785	742	858
SL1344_3699	419	645	418	350	478	227	413	619	1262	289
SL1344_3700	1131	1110	770	648	765	636	671	496	639	457
SL1344_3701	2170	3249	1811	2606	1801	882	2972	2303	2223	1883
SL1344_3702	229	210	129	187	150	53	200	105	94	150
SL1344_3703	101	118	92	118	74	62	119	82	85	93
SL1344_3704	207	262	193	201	224	111	336	379	355	290
SL1344_3705	120	125	85	85	98	25	98	78	69	91
SL1344_3706	4177	4361	3527	4840	3114	937	4509	3034	2801	4017
SL1344_3707	4224	4193	3163	4087	2581	2093	3928	2888	2457	3078
SL1344_3708	12960	14215	10299	15600	10314	4414	12478	9324	9035	10765
SL1344_3709	2469	2063	1481	2208	1367	614	1836	1332	1422	1525
SL1344_3710	3625	3439	2287	3387	2211	806	2547	1894	2065	2678
SL1344_3711	673	855	469	626	531	431	833	497	305	539
SL1344_3712	681	1080	687	819	674	489	1047	576	343	704
SL1344_3713	85	74	58	66	59	21	108	65	70	69
SL1344_3714	520	827	491	606	511	233	793	486	295	633
SL1344_3715	103	142	79	117	91	52	156	97	75	86
SL1344_3716	75	64	52	73	59	14	78	37	36	41
SL1344_3717	107	125	64	102	104	40	110	90	52	57
SL1344_3720	1399	1539	972	1471	997	379	1608	1069	837	1091
SL1344_3722	6	7	1	3	14	2	16	1	3	5
SL1344_3723	340	423	174	239	182	91	277	185	171	227
SL1344_3724	155	123	65	93	26	31	107	51	21	67
SL1344_3725	237	224	81	176	63	72	174	80	46	146
SL1344_3726	111	93	17	69	35	32	115	44	35	39
SL1344_3727	1290	3794	615	710	614	836	4168	805	650	603
SL1344_3727A	13	16	8	7	6	3	12	12	9	4
SL1344_3728	1374	1742	646	751	690	940	1053	1126	993	785
SL1344_3729	805	741	222	250	240	506	430	428	470	338
SL1344_3730	422	490	283	446	286	102	457	286	196	432
SL1344_3731	780	1353	472	633	620	357	1091	565	485	371
SL1344_3732	29	33	23	30	29	12	36	21	25	26
SL1344_3733	97	232	91	82	95	32	145	115	127	63
SL1344_3734	36	61	36	36	43	17	58	48	31	39
SL1344_3735	26	58	23	26	24	7	27	25	26	20
SL1344_3736	6	10	4	11	12	10	0	2	24	9
SL1344_3737	3	19	12	8	8	4	3	1	14	3
SL1344_3738	1236	1798	893	1145	985	431	1410	881	722	993
SL1344_3739	112	558	15	32	21	17	304	22	17	36
SL1344_3740	169	363	92	116	207	33	129	97	134	142
SL1344_3743	350	629	321	346	320	103	437	298	326	470
SL1344_3744	32	24	12	22	18	8	19	20	21	14
SL1344_3745	10	23	9	11	13	11	12	12	15	12
SL1344_3746	23	31	17	18	27	2	34	22	27	17
SL1344_3747	226	307	160	169	183	120	291	166	123	176
SL1344_3748	45	75	52	63	78	25	73	39	51	69
SL1344_3749	106	147	73	56	106	12	64	99	74	120
SL1344_3750	134	235	100	78	131	25	132	75	126	137
SL1344_3751	360	504	239	241	431	78	288	254	249	350
SL1344_3752	785	1012	598	743	675	234	774	617	493	658
SL1344_3753	253	331	155	141	176	56	167	104	137	189
SL1344_3754	363	260	165	178	245	117	240	165	157	187
SL1344_3755	314	352	218	338	252	158	309	241	159	276
SL1344_3756	128	124	74	158	131	108	159	119	77	72
SL1344_3757	122	107	59	58	99	27	70	27	42	69
SL1344_3758	95	123	63	37	79	12	68	40	35	85
SL1344_3759	128	229	92	83	144	32	104	79	48	104
SL1344_3760	152	196	118	139	102	81	141	113	127	133
SL1344_3761	105	140	54	68	76	31	82	38	32	86
SL1344_3762	921	802	488	507	519	190	417	327	206	654
SL1344_3763	625	492	247	376	702	221	388	276	470	370
SL1344_3765	188	111	97	160	97	68	152	58	61	148
SL1344_3766	237	384	246	299	340	164	500	276	200	296
SL1344_3767	307	406	206	292	298	160	357	204	154	218
SL1344_3768	112	193	100	160	175	62	150	120	92	135
SL1344_3769	86	137	61	68	97	37	91	50	53	86
SL1344_3770	271	411	195	253	226	100	306	185	163	189
SL1344_3771	276	443	224	251	271	93	375	147	156	248
SL1344_3772	119	198	116	99	124	76	133	114	88	118
SL1344_3773	170	267	139	160	152	86	225	104	159	108
SL1344_3774	149	188	142	104	123	42	132	163	74	168
SL1344_3775	1402	1629	1329	435	1165	573	894	1447	295	1138
SL1344_3776	511	559	398	179	380	260	301	587	130	608
SL1344_3778	503	617	370	546	364	280	456	332	340	296
SL1344_3779	49	76	25	44	43	4	71	47	28	45
SL1344_3780	0	1	0	0	0	0	1	1	0	0
SL1344_3781	0	0	0	0	0	0	0	0	0	0
SL1344_3782	0	0	0	0	0	0	0	0	0	0
SL1344_3782A	0	0	0	0	0	0	0	0	0	0
SL1344_3783	0	0	0	0	0	0	0	0	0	0
SL1344_3784	0	0	0	0	0	0	0	0	0	0
SL1344_3785	0	7	2	3	2	0	2	1	2	1
SL1344_3786	40	31	12	16	26	7	20	15	16	29
SL1344_3787	13	16	9	7	25	7	17	6	1	7
SL1344_3788	96	165	82	94	98	45	139	84	56	88
SL1344_3789	32	26	22	32	48	9	25	26	23	22
SL1344_3790	265	474	303	304	380	171	483	358	303	342
SL1344_3791	83	100	54	93	77	30	86	54	64	56
SL1344_3792	413	459	309	452	276	116	406	292	285	308
SL1344_3793	22	17	9	22	20	7	20	17	6	11
SL1344_3794	32	100	32	23	44	19	36	34	32	40
SL1344_3795	34	50	19	13	30	7	26	17	13	20
SL1344_3796	140	207	98	110	107	90	160	108	107	126
SL1344_3797	223	475	233	206	194	99	237	222	169	201
SL1344_3798	1676	1669	1081	1550	1315	674	1570	972	771	1248
SL1344_3799	20	45	10	21	28	9	62	11	20	37
SL1344_3800	63	130	35	47	69	25	80	46	32	57
SL1344_3801	73	145	89	39	83	9	55	62	93	103
SL1344_3802	13539	16425	10436	13999	10085	4706	14720	10026	9221	11375
SL1344_3803	3851	4060	2561	3137	2327	887	3664	2165	1643	2770
SL1344_3804	5054	6397	3711	4541	3908	1359	4947	3144	2785	4362
SL1344_3805	5119	5171	3349	4445	3532	1618	4645	2925	2509	3997
SL1344_3806	3157	2732	2168	3175	1939	1447	2980	2017	1904	2327
SL1344_3807	1045	1117	812	1081	641	338	875	642	557	1028
SL1344_3808	1928	1735	1139	2016	1183	569	1489	1149	1110	1259
SL1344_3809	8459	8351	6324	9990	6593	4063	8957	6003	5819	7399
SL1344_3810	1402	1493	997	1634	1045	493	1473	882	938	1132
SL1344_3812	558	780	775	807	751	228	1030	846	873	1162
SL1344_3813	272	259	299	305	228	67	414	323	357	607
SL1344_3814	51	52	45	52	35	7	40	36	19	51
SL1344_3815	110	163	83	105	62	38	115	58	55	77
SL1344_3816	348	475	210	269	173	115	356	214	196	184
SL1344_3817	428	1135	274	413	299	258	1011	383	394	313
SL1344_3818	443	414	234	565	290	241	511	375	298	294
SL1344_3819	724	938	564	867	689	292	986	717	671	551
SL1344_3820	593	1095	624	642	644	434	904	659	633	606
SL1344_3821	909	1507	898	964	831	772	1239	996	992	794
SL1344_3822	235	461	240	337	230	146	398	307	262	223
SL1344_3823	265	517	230	392	285	209	429	344	363	300
SL1344_3824	467	904	388	596	459	519	846	662	621	485
SL1344_3825	148	216	65	84	130	45	59	96	89	76
SL1344_3826	2	10	5	6	5	3	4	6	4	8
SL1344_3827	151	324	173	170	162	100	289	173	121	209
SL1344_3828	7159	10031	7112	9090	6155	3679	7149	6816	6716	7928
SL1344_3829	7502	13479	8890	12745	8704	4148	10920	9677	9742	7866
SL1344_3830	446	266	146	288	152	76	203	159	198	237
SL1344_3831	10613	16022	8797	10649	9889	6560	11368	10060	11171	9123
SL1344_3832	21144	34897	18434	21927	19937	12065	24675	20858	22981	19782
SL1344_3833	17968	28419	14764	19021	16428	13114	20699	18180	21215	16669
SL1344_3834	36946	71720	38943	43477	40225	16812	48181	40399	41128	44965
SL1344_3835	18930	36721	17111	21355	20202	8206	23913	20742	25815	18517
SL1344_3836	19322	35817	17882	21018	19080	13224	24571	22316	26531	18024
SL1344_3837	9185	19617	9177	11415	11021	9293	14561	13243	14792	9313
SL1344_3838	8970	13605	7824	8886	7735	3805	11031	9243	9542	9479
SL1344_3839	4690	4803	2672	3504	2797	2749	3701	3586	4175	2154
SL1344_3840	828	616	405	434	484	238	419	253	325	332
SL1344_3841	5839	5778	3775	3737	3373	2677	3936	2535	2414	2657
SL1344_3842	9135	7882	5537	6820	5052	2732	7396	4837	3679	6017
SL1344_3843	602	751	472	732	449	181	844	532	511	458
SL1344_3844	207	271	260	2325	181	118	165	123	130	147
SL1344_3845	1599	2193	1014	1350	1243	303	1438	748	792	1153
SL1344_3846	872	1256	594	851	779	386	986	560	510	780
SL1344_3847	867	894	646	989	689	330	992	608	494	930
SL1344_3848	8390	22601	6719	905	16365	1018	1790	2614	3498	9320
SL1344_3849	6596	12305	4472	478	9234	590	1055	990	743	7474
SL1344_3850	3834	8028	2290	425	5651	290	719	935	1252	4524
SL1344_3851	4151	11591	2760	733	6601	536	1165	2188	3448	3733
SL1344_3852	2443	6043	1410	390	3439	382	584	1015	1295	2451
SL1344_3853	2202	4889	1122	348	2822	347	520	806	1286	2050
SL1344_3857	871	1241	792	935	724	265	1138	771	745	691
SL1344_3858	556	731	330	489	402	169	553	358	320	413
SL1344_3859	3822	11144	9992	6988	8394	1488	11132	9515	6620	9300
SL1344_3860	126	149	93	108	120	45	161	102	84	97
SL1344_3861	542	628	404	467	421	278	561	334	147	462
SL1344_3862	163	298	202	157	213	51	236	148	126	145
SL1344_3863	605	1291	676	634	673	354	1010	596	432	646
SL1344_3864	1183	2090	1186	1230	1370	405	1623	862	534	1348
SL1344_3865	641	1065	576	613	595	213	754	451	332	603
SL1344_3866	398	695	322	437	418	175	662	438	388	513
SL1344_3867	193	251	129	147	177	125	201	201	177	159
SL1344_3868	77	67	44	49	64	57	80	66	27	33
SL1344_3869	3810	3228	2706	4497	3202	629	2280	1481	992	2738
SL1344_3870	4349	5455	3802	6295	4345	1273	6048	4661	5484	4361
SL1344_3871	63	45	29	43	52	15	47	46	36	50
SL1344_3872	3919	4661	3293	4027	2778	1465	4499	2915	2531	2713
SL1344_3873	4232	3628	2586	3808	2473	1478	2814	2184	2448	2764
SL1344_3874	9007	9701	7119	8974	5922	2012	7897	5658	5590	7711
SL1344_3875	6061	6097	4589	8081	5529	3585	7399	5504	5861	3524
SL1344_3876	21437	17363	12322	23198	13063	4467	16471	11763	12081	15971
SL1344_3877	3063	3127	1879	2773	1977	1025	3386	1864	1651	1997
SL1344_3878	3019	4083	2100	2901	2244	1005	4200	1981	1660	2386
SL1344_3879	2649	4035	1948	2806	2006	894	3848	1746	1591	2406
SL1344_3880	2086	3327	1478	2026	1354	972	2755	1329	1241	1491
SL1344_3881	1837	2817	1116	1568	1187	1076	2308	1160	986	1058
SL1344_3882	180	234	101	145	94	36	200	88	66	88
SL1344_3883	1091	1398	593	832	614	421	1236	561	464	643
SL1344_3884	1842	2409	1080	1551	1051	546	2067	1021	859	1137
SL1344_3885	1224	1329	629	897	654	327	1144	567	482	689
SL1344_3886	675	758	385	585	365	208	785	350	322	408
SL1344_3887	2217	2298	1338	1831	1225	339	2306	934	1087	1672
SL1344_3888	1764	1860	929	1263	839	217	1761	761	773	1137
SL1344_3889	1299	1250	1019	1569	1114	541	1124	928	673	996
SL1344_3890	1980	2423	1236	1866	1263	539	1791	1194	1070	1554
SL1344_3891	1803	2541	1408	1811	1312	739	1788	1176	1218	1341
SL1344_3892	1250	1591	997	1393	1130	458	1164	876	752	1107
SL1344_3893	850	955	635	906	653	554	756	578	536	762
SL1344_3894	8281	8685	4912	8237	4931	2488	9340	4753	3299	5808
SL1344_3895	164	87	47	94	46	19	131	37	15	89
SL1344_3896	60	40	61	63	53	16	91	26	40	80
SL1344_3897	52	33	15	45	19	15	35	26	13	31
SL1344_3898	346	585	373	473	437	345	434	429	620	273
SL1344_3899	2	1	2	4	0	1	4	4	1	1
SL1344_3900	176	252	133	201	194	57	223	156	116	170
SL1344_3901	2773	4769	2562	3023	2438	713	3166	2268	1974	2964
SL1344_3902	772	1034	529	786	544	354	793	543	540	686
SL1344_3903	781	960	487	771	506	341	726	442	377	459
SL1344_3904	406	431	266	312	259	125	356	208	207	376
SL1344_3905	6859	7093	4871	6579	4807	2158	6082	4499	3887	4914
SL1344_3906	1924	1594	1153	1816	1127	835	1715	1106	1086	1329
SL1344_3907	21	5	5	20	10	1	13	4	5	14
SL1344_3908	30	19	9	27	13	10	19	12	19	41
SL1344_3909	466	482	351	574	464	171	496	402	394	431
SL1344_3910	66	101	49	61	76	31	69	49	66	75
SL1344_3911	2145	2437	1504	2303	1368	998	2483	1633	1730	1440
SL1344_3912	2409	3147	1759	2361	1656	1093	2635	1667	1591	1816
SL1344_3913	191	139	94	127	83	42	124	64	61	141
SL1344_3914	31	40	33	28	36	24	45	41	23	28
SL1344_3915	1145	1532	926	1160	884	431	1243	911	842	972
SL1344_3916	411	457	273	377	347	183	405	298	288	385
SL1344_3917	115	152	92	155	84	49	134	111	47	92
SL1344_3918	34	48	16	24	30	23	54	39	23	35
SL1344_3919	283	417	225	367	285	115	464	280	204	225
SL1344_3920	157	182	94	135	71	54	157	92	67	93
SL1344_3921	249	619	93	137	130	89	579	81	70	118
SL1344_3922	2225	3515	2108	1378	3522	896	1747	1181	569	2342
SL1344_3923	2886	2450	1797	1803	1750	514	1917	1330	1026	1737
SL1344_3924	1571	1921	1113	1470	1063	749	1801	1156	1083	1262
SL1344_3925	2067	2759	1484	1938	1385	670	2269	1323	1335	1492
SL1344_3926	3784	4619	2554	3351	2669	1470	4138	2760	2565	2453
SL1344_3927	7065	10085	7275	8832	6161	2001	10481	7045	5990	8917
SL1344_3928	1685	1587	1117	1468	955	638	1507	1074	947	1179
SL1344_3929	3034	3203	2068	3223	2222	661	3025	2043	2005	2999
SL1344_3930	360	349	179	346	202	146	327	207	184	208
SL1344_3931	706	752	604	865	587	387	1019	625	452	694
SL1344_3932	5346	6257	4012	5494	4359	1792	5659	4266	4370	4543
SL1344_3933	6158	7442	4476	6198	4832	1583	6620	4537	4607	4834
SL1344_3934	779	953	500	859	539	212	791	484	359	680
SL1344_3935	160	493	97	34	248	50	146	101	145	148
SL1344_3936	205	639	174	45	364	47	101	130	233	248
SL1344_3937	1215	1974	1191	1485	1222	514	1732	1248	1217	1341
SL1344_3938	883	1149	696	961	684	370	974	722	659	632
SL1344_3939	894	1371	700	804	662	309	1001	534	538	702
SL1344_3940	488	710	337	408	268	202	429	276	291	325
SL1344_3941	646	942	465	561	526	239	786	473	453	495
SL1344_3942	506	781	350	403	372	150	455	395	386	313
SL1344_3943	568	878	612	812	701	169	790	755	834	709
SL1344_3944	3276	4458	2861	3812	3235	1232	4359	2950	2990	2421
SL1344_3945	3847	6942	3792	4937	4047	1804	6052	4081	4017	3311
SL1344_3946	1382	1564	1103	1385	961	396	1546	1088	1032	1133
SL1344_3947	3897	5653	3232	4589	3133	1661	4526	3261	3066	3111
SL1344_3948	3007	3413	2298	3318	2280	1322	3166	2340	2539	2274
SL1344_3950	5748	7627	5679	7049	4573	2276	7445	5754	5320	4197
SL1344_3951	1575	1944	1482	1840	1437	601	1732	1421	1252	1690
SL1344_3951A	675	495	336	578	907	463	436	550	538	213
SL1344_3952	675	693	577	647	540	230	630	773	1040	612
SL1344_3953	430	453	414	534	441	189	424	582	784	411
SL1344_3954	3443	3823	3502	4653	3727	2489	3915	7503	10195	3536
SL1344_3955	13556	12956	13132	20758	9671	8984	16764	13052	10851	10768
SL1344_3956	82	49	41	42	32	22	79	26	31	40
SL1344_3957	60	75	30	25	28	4	64	25	3	32
SL1344_3958	93	137	93	83	82	18	115	66	60	102
SL1344_3959	16	36	19	15	17	13	35	10	6	30
SL1344_3960	31	37	12	25	35	4	24	14	24	21
SL1344_3961	100	137	86	96	109	36	75	88	71	55
SL1344_3962	0	8	3	9	2	10	14	0	1	3
SL1344_3963	24	18	20	19	19	4	41	16	9	39
SL1344_3964	40	66	48	55	47	16	64	37	45	46
SL1344_3965	50	142	92	57	88	23	92	61	13	70
SL1344_3966	24	65	41	13	53	8	39	33	12	44
SL1344_3967	35	105	64	49	81	18	51	20	46	72
SL1344_3968	11	23	20	14	18	7	7	17	6	12
SL1344_3969	8	15	5	6	8	4	11	4	6	9
SL1344_3970	54	162	27	26	55	13	91	30	39	53
SL1344_3971	307	545	308	352	385	168	453	365	277	350
SL1344_3972	786	1624	714	795	785	427	1296	724	591	633
SL1344_3973	728	2073	863	851	1147	299	1583	911	747	1052
SL1344_3974	360	725	328	343	382	83	596	336	231	311
SL1344_3975	1662	2850	1344	1498	1372	580	2293	1189	939	1433
SL1344_3976	895	1659	715	1059	772	784	1544	1483	1100	770
SL1344_3977	366	666	320	367	320	231	688	565	337	468
SL1344_3978	187	301	179	249	252	67	264	182	145	297
SL1344_3979	268	430	269	281	289	67	583	340	225	307
SL1344_3980	139	225	106	126	97	42	224	134	86	124
SL1344_3981	1419	1910	1162	1441	1318	728	1208	997	1286	1384
SL1344_3982	4685	6266	3748	4470	4312	1192	4554	3661	4392	3114
SL1344_3983	4155	5621	3160	3739	3781	1397	3617	3072	3866	3217
SL1344_3986	510	380	241	325	282	110	388	258	208	295
SL1344_3987	1619	640	297	733	362	187	677	317	419	395
SL1344_3988	42	46	22	14	32	8	55	37	10	28
SL1344_3989	51	63	35	59	38	20	87	43	14	87
SL1344_3990	140	144	88	153	105	75	141	84	40	110
SL1344_3991	583	718	476	585	349	222	687	388	287	608
SL1344_3992	29	56	15	28	30	6	42	22	40	23
SL1344_3993	55	113	79	63	88	14	67	67	76	50
SL1344_3994	32	58	31	23	38	13	24	37	25	24
SL1344_3995	29	50	38	42	46	5	28	17	18	36
SL1344_3996	19	23	12	35	18	11	19	11	7	24
SL1344_3997	71	126	69	26	90	9	78	69	25	77
SL1344_3998	63	94	50	56	85	6	46	47	65	63
SL1344_3999	29	38	20	18	24	13	31	13	12	25
SL1344_4000	18	33	16	27	10	5	14	11	5	32
SL1344_4001	54	46	28	31	28	14	60	25	17	37
SL1344_4002	49	43	30	49	31	2	42	14	13	21
SL1344_4003	44	31	13	46	29	9	37	26	21	6
SL1344_4004	10633	16268	9741	14265	10490	5228	17218	8544	4565	8010
SL1344_4005	274	303	154	216	173	83	299	159	110	181
SL1344_4006	169	406	171	171	201	38	271	148	144	148
SL1344_4007	951	1460	829	1108	864	543	1256	793	736	721
SL1344_4008	816	997	626	861	563	279	924	548	451	632
SL1344_4009	1731	680	158	413	154	160	650	133	131	411
SL1344_4010	1828	2299	1340	1656	1624	751	2061	1387	1460	1384
SL1344_4011	800	1098	638	835	642	820	922	628	519	477
SL1344_4012	217	231	62	110	77	112	285	61	34	164
SL1344_4013	557	1044	636	730	740	432	1071	765	641	616
SL1344_4014	70	156	87	69	116	23	97	67	38	96
SL1344_4015	130	282	130	102	176	34	118	86	87	133
SL1344_4016	598	1199	494	596	686	199	598	434	466	520
